MaterialID,DefaultReceiptLocation,DefaultIssueLocation
3570,L1,L1
3571,L1,L1
3572,L1,L1
3573,L1,L1
3574,L1,L1
4162,L1,L1
3575,L1,L1
3964,L1,L1
2098,L1,L1
3576,L1,L1
3577,L1,L1
3578,L1,L1
2099,L1,L1
3579,L1,L1
3580,L1,L1
3581,L1,L1
2100,L1,L1
3582,L1,L1
3583,L1,L1
3584,L1,L1
3585,L1,L1
3586,L1,L1
2101,L1,L1
3587,L1,L1
3588,L1,L1
3589,L1,L1
3590,L1,L1
3591,L1,L1
3592,L1,L1
2187,L1,L1
3593,L1,L1
3594,L1,L1
3595,L1,L1
3936,L1,L1
3596,L1,L1
3597,L1,L1
3598,L1,L1
3599,L1,L1
3600,L1,L1
3601,L1,L1
3602,L1,L1
2102,L1,L1
3603,L1,L1
3604,L1,L1
2133,L1,L1
3605,L1,L1
3917,L1,L1
2129,L1,L1
2131,L1,L1
3606,L1,L1
1028,L1,L1
3607,L1,L1
2103,L1,L1
1031,L1,L1
1423,L1,L1
1026,L1,L1
1030,L1,L1
1729,L1,L1
1088,L1,L1
1024,L1,L1
1397,L1,L1
1077,L1,L1
1756,L1,L1
1757,L1,L1
2104,L1,L1
1872,L1,L1
2401,L1,L1
2404,L1,L1
2105,L1,L1
2145,L1,L1
3608,L1,L1
3609,L1,L1
3610,L1,L1
3611,L1,L1
3612,L1,L1
3613,L1,L1
3614,L1,L1
2106,L1,L1
3615,L1,L1
2107,L1,L1
3616,L1,L1
3617,L1,L1
3919,L1,L1
2108,L1,L1
3618,L1,L1
3619,L1,L1
3620,L1,L1
3621,L1,L1
3622,L1,L1
3623,L1,L1
3624,L1,L1
1020,L1,L1
1018,L1,L1
2408,L1,L1
2183,L1,L1
2405,L1,L1
2407,L1,L1
3625,L1,L1
3922,L1,L1
3626,L1,L1
3627,L1,L1
3628,L1,L1
3629,L1,L1
3630,L1,L1
3631,L1,L1
3632,L1,L1
3633,L1,L1
3634,L1,L1
3635,L1,L1
3636,L1,L1
3637,L1,L1
3638,L1,L1
3639,L1,L1
3830,L1,L1
3640,L1,L1
3641,L1,L1
3642,L1,L1
3643,L1,L1
3644,L1,L1
2109,L1,L1
3645,L1,L1
2341,L1,L1
3646,L1,L1
3647,L1,L1
3648,L1,L1
3649,L1,L1
2638,L1,L1
3650,L1,L1
3651,L1,L1
1021,L1,L1
2110,L1,L1
1385,L1,L1
1416,L1,L1
1419,L1,L1
1420,L1,L1
1421,L1,L1
2111,L1,L1
1417,L1,L1
1418,L1,L1
1874,L1,L1
3933,L1,L1
3652,L1,L1
3653,L1,L1
3654,L1,L1
3655,L1,L1
3656,L1,L1
3657,L1,L1
3658,L1,L1
3659,L1,L1
3660,L1,L1
3661,L1,L1
3662,L1,L1
3663,L1,L1
3664,L1,L1
3665,L1,L1
3666,L1,L1
2112,L1,L1
3667,L1,L1
3668,L1,L1
3669,L1,L1
2186,L1,L1
4150,L1,L1
4125,L1,L1
3670,L1,L1
3918,L1,L1
3671,L1,L1
3672,L1,L1
3673,L1,L1
3674,L1,L1
1029,L1,L1
2323,L1,L1
2505,L1,L1
2506,L1,L1
2546,L1,L1
2271,L1,L1
2641,L1,L1
2643,L1,L1
2644,L1,L1
2642,L1,L1
2113,L1,L1
1407,L1,L1
1412,L1,L1
3675,L1,L1
3676,L1,L1
4207,L1,L1
1408,L1,L1
2114,L1,L1
1873,L1,L1
4208,L1,L1
2115,L1,L1
1413,L1,L1
1422,L1,L1
1394,L1,L1
1414,L1,L1
3677,L1,L1
3678,L1,L1
3679,L1,L1
3680,L1,L1
3681,L1,L1
3682,L1,L1
2144,L1,L1
3683,L1,L1
3684,L1,L1
4163,L1,L1
3685,L1,L1
3686,L1,L1
4164,L1,L1
1820,L1,L1
1019,L1,L1
2116,L1,L1
2705,L1,L1
2342,L1,L1
1425,L1,L1
4174,L1,L1
1774,SZ1,SZ1
4138,L1,L1
2353,SZ1,SZ1
1696,SZ1,SZ1
1748,SZ1,SZ1
1687,SZ1,SZ1
1700,SZ1,SZ1
2273,SZ1,SZ1
1697,SZ1,SZ1
1695,SZ1,SZ1
1699,SZ1,SZ1
2306,SZ1,SZ1
1698,SZ1,SZ1
3734,SZ1,SZ1
2310,SZ1,SZ1
2375,SZ1,SZ1
2383,SZ1,SZ1
2311,SZ1,SZ1
2281,SZ1,SZ1
2198,SZ1,SZ1
2320,SZ1,SZ1
2197,SZ1,SZ1
2199,SZ1,SZ1
2358,SZ1,SZ1
1807,SZ1,SZ1
2344,SZ1,SZ1
3721,SZ1,SZ1
2343,SZ1,SZ1
1879,SZ1,SZ1
2345,SZ1,SZ1
3722,SZ1,SZ1
2365,SZ1,SZ1
2385,SZ1,SZ1
2360,SZ1,SZ1
1631,SZ1,SZ1
1636,SZ1,SZ1
2181,SZ1,SZ1
1632,SZ1,SZ1
1634,SZ1,SZ1
1656,SZ1,SZ1
2361,SZ1,SZ1
3694,SZ1,SZ1
2623,SZ1,SZ1
2497,SZ1,SZ1
2503,SZ1,SZ1
2324,SZ1,SZ1
1652,SZ1,SZ1
3839,SZ1,SZ1
2659,SZ1,SZ1
2601,SZ1,SZ1
1633,SZ1,SZ1
1648,SZ1,SZ1
2415,SZ1,SZ1
2416,SZ1,SZ1
2454,SZ1,SZ1
2414,SZ1,SZ1
1655,SZ1,SZ1
4171,SZ1,SZ1
2459,SZ1,SZ1
1813,SZ1,SZ1
1812,SZ1,SZ1
1796,SZ1,SZ1
1797,SZ1,SZ1
2179,SZ1,SZ1
